ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-8,67,-14,-11,31,-9,19,8,-20,-19,96,15,-16,-10,-20,23,-15,-17,-4,132,15,5,-11,-16,126,-18,0,-15,34,1,-2,25,-6,-15,8,43,151,-8,30,-18
45,0,66,-18,21,20,-6,93,-12,-11,-8,62,34,-19,2347,-9,271,-10,1,2341,-12,-16,-5,-13,3,-19,-14,16,-18,-14,-3,-6,5,-4,98,-4,-13,24,-3,-4
26,17,-11,-1,-18,-8,-18,88,102,-9,-7,-10,10,-18,-7,-19,-6,-14,-12,11,-8,-4,81,-14,2,2344,-8,-1,-14,-20,-19,-16,-13,-14,-18,-16,-19,12,-13,-18
-19,35,-15,2341,-19,-13,22,72,-4,-11,2,8,82,-8,2350,115,1,-12,-7,-2,-10,77,30,-19,-19,-13,-19,-4,-18,-13,41,41,0,-9,-13,-19,-10,1,-19,-19
53,-18,-15,-15,23,135,2,58,-19,-20,16,65,13,-20,-12,21,-8,54,-10,-7,3,-14,5,-2,36,-12,-17,82,-10,34,2353,-16,-3,-3,25,-12,-17,-16,1,77
41,-2,25,25,-20,-17,15,13,-20,-8,-6,-18,-8,-3,-8,14,-19,-11,0,-16,-19,37,-12,2345,-20,-17,-6,-17,-20,6,-14,-20,-15,163,-14,6,-7,25,125,60
2,175,-19,-20,-11,-18,54,23,149,-19,64,-13,-18,131,2,1,41,-9,-14,-15,-12,-8,1,-17,-17,5,-13,-14,7,6,-8,-10,66,-19,74,-6,134,-12,-16,128
275,32,-16,-8,6,48,52,-10,4,2,157,69,-4,0,-11,7,9,33,-3,-9,51,119,0,-20,56,-12,-18,-12,-15,-10,-17,-20,-4,60,2355,-10,-12,-11,-15,102
3,14,-19,-13,-6,53,-15,6,-19,-15,-18,53,-10,-9,38,-20,67,-9,-18,-20,-18,-18,-4,-18,-20,23,-18,-17,3,-20,-18,179,9,407,-13,30,-14,-10,-5,-3
136,43,1,34,2347,21,32,36,-2,-6,-19,-18,-10,95,-17,-15,-18,-14,-20,-7,5,-9,-17,-16,-4,-17,-12,10,133,-14,-20,-9,8,2341,12,-12,82,257,1,10
-16,43,-17,36,-19,159,24,0,-16,75,-12,-16,-17,-16,-10,0,47,-16,15,-7,-20,10,-19,15,-18,0,-3,-7,-20,1,-1,45,-7,41,2,5,13,-20,-17,-8
-12,59,8,-2,28,-10,272,-7,8,-3,-7,-19,-17,-6,-9,78,2,0,8,-8,-7,-19,23,-8,-14,-14,-19,-16,-3,-10,-20,-15,192,287,-18,13,25,-9,-20,-9
471,-14,15,-18,86,56,-7,0,-18,-20,3,54,-5,-14,-13,91,59,-12,-19,2340,-13,-15,-19,-16,120,2347,-2,8,-17,114,-4,-8,69,-1,-18,-5,-2,-6,44,-11
-19,94,257,9,0,11,3,-20,11,-16,-19,-13,9,102,2345,-14,-17,-13,30,-16,-12,-20,-18,-2,2,15,-15,84,-16,-17,-16,-8,-20,-14,2340,-18,-5,-17,-19,4
3,20,-10,-18,-19,-14,-12,7,-18,-12,-19,-18,-3,101,-8,32,83,-19,13,-12,-11,-13,134,-4,-20,-8,-17,-13,-7,38,-15,-15,70,24,-6,11,-14,2343,-5,-16
-12,37,-4,-1,275,11,-13,34,12,78,-11,21,-19,56,0,34,16,2341,-17,2,124,-17,57,-11,2,-17,86,-12,-18,-9,-12,11,165,2,-12,17,-12,-20,-14,-4
9,-15,5,-4,24,125,-7,-2,96,17,-13,18,-17,67,77,-19,5,-10,1,-13,21,37,-13,-9,-20,2,-3,-16,207,-11,-20,167,89,38,53,-16,9,-5,-4,2342
42,-16,-19,-16,56,-5,-1,-14,-3,61,30,-13,-11,12,-12,-16,-11,-13,-20,278,-20,-14,-9,-4,-18,-5,-11,47,16,10,-17,27,0,480,33,-8,166,2,-18,-4
